;0.041121495327102804
search;0.005722286048929267
take;0.0020850708170501763
counters;0.0038558770206841694
outbursts;0.008063899074154253
hide;0.005472694660846047
__id__3249;0.02807850384242507
__id__3248;0.009359501280808358
mercy;0.0042977252039817955
__id__3232;0.009359501280808358
undying;0.006768296867500151
perturbed;0.0073060203674100216
wildling;0.0034987644286043388
properly;0.006010418160755917
concepts;0.009359501280808358
become;0.003668805135530931
had;0.006488891122555582
like;0.0055363463948273255
declares;0.003956937247357582
claims;0.0038558770206841694
vocabulary;0.008063899074154253
not;0.003738317757009346
__id__3261;0.009359501280808358
some;0.002610122004837844
beyond;0.005647946257069125
__id__3349;0.018719002561616717
body;0.003760001704071925
distinguished;0.008063899074154253
__id__3279;0.04679750640404178
himself;0.002047308747297804
escape;0.003668805135530931
fathering;0.008063899074154253
__id__3299;0.018719002561616717
dog;0.008063899074154253
tells;0.003738317757009346
meets;0.006838427494895422
returns;0.010028732861855719
warped;0.009359501280808358
hounds;0.012020836321511835
over;0.0022031622219502354
__id__3337;0.018719002561616717
best;0.003668805135530931
confesses;0.005252539454011685
__id__3328;0.009359501280808358
where;0.0024643994974178217
argue;0.006351206117380132
that;0.056074766355140186
killed;0.002286249628624691
then;0.004094617494595608
ignoring;0.005252539454011685
honor;0.009429631908203628
advises;0.004177092454191943
comfort;0.012020836321511835
whom;0.0035818518352787945
secretly;0.006010418160755917
evidence;0.0073060203674100216
walnut;0.009359501280808358
__id__3357;0.009359501280808358
camp;0.0035818518352787945
still;0.002329220690726932
courage;0.006351206117380132
this;0.0041701416341003526
__id__3231;0.009359501280808358
later;0.002286249628624691
explains;0.002610122004837844
son;0.006987662072180796
berates;0.006768296867500151
loyalty;0.004565203416394269
it;0.003806912667918492
bitter;0.006768296867500151
recaptured;0.0073060203674100216
__id__3338;0.02807850384242507
forced;0.0038558770206841694
council;0.0034987644286043388
brings;0.003956937247357582
__id__3245;0.009359501280808358
marriage;0.003342910953951907
points;0.00288149024753784
once;0.0027681731974136627
such;0.0030021229973276925
__id__3292;0.018719002561616717
__id__3298;0.009359501280808358
behind;0.00288149024753784
cautions;0.006010418160755917
close;0.003956937247357582
hunt;0.013536593735000301
__id__3254;0.009359501280808358
privately;0.006351206117380132
sleeping;0.005722286048929267
thank;0.009359501280808358
letting;0.005252539454011685
actually;0.003956937247357582
__id__3303;0.009359501280808358
bloodshe;0.009359501280808358
life;0.0055363463948273255
quaithe;0.008063899074154253
share;0.004063775404067767
__id__3241;0.009359501280808358
sympathy;0.0073060203674100216
nobles;0.008063899074154253
gate;0.005472694660846047
burned;0.008853367684550327
__id__3229;0.009359501280808358
__id__3330;0.009359501280808358
teach;0.006351206117380132
sheets;0.024191697222462758
seen;0.006262163271242119
never;0.0027139908855010417
flee;0.004877454041932898
rid;0.0073060203674100216
personality;0.0073060203674100216
stands;0.0038558770206841694
now;0.0025602748140300655
__id__3304;0.037438005123233434
attempt;0.008354184908383886
peace;0.004565203416394269
separated;0.006768296867500151
speculates;0.0073060203674100216
homicidal;0.009359501280808358
but;0.013084112149532711
imprisons;0.009359501280808358
taken;0.0031310816356210597
group;0.0031310816356210597
considers;0.005722286048929267
slaughtering;0.0073060203674100216
brave;0.006351206117380132
doubles;0.009359501280808358
commoners;0.006351206117380132
also;0.002047308747297804
blame;0.0073060203674100216
joffrey;0.004565203416394269
__id__3237;0.009359501280808358
constructed;0.009359501280808358
when;0.009345794392523364
__id__3271;0.07487601024646687
nightmare;0.0073060203674100216
__id__3362;0.018719002561616717
states;0.003342910953951907
major;0.005472694660846047
hoisted;0.009359501280808358
__id__3282;0.009359501280808358
on;0.013084112149532711
remove;0.004714815954101814
believes;0.0035818518352787945
farmer;0.006768296867500151
bringing;0.005472694660846047
there;0.0022031622219502354
members;0.003668805135530931
down;0.0041701416341003526
cell;0.0044266838422751635
them;0.022429906542056073
by;0.014953271028037384
common;0.0044266838422751635
supplies;0.012020836321511835
accompany;0.006010418160755917
mattress;0.008063899074154253
assassination;0.020304890602500448
regardless;0.006010418160755917
demands;0.0027681731974136627
is;0.03551401869158879
he;0.018691588785046728
need;0.0030654903836373776
sex;0.004063775404067767
begun;0.006010418160755917
either;0.004063775404067767
__id__3244;0.009359501280808358
__id__3345;0.009359501280808358
taunts;0.005252539454011685
distressed;0.006768296867500151
dragons;0.01599529270306675
required;0.008063899074154253
tries;0.006609486665850706
beats;0.006010418160755917
cries;0.005722286048929267
royalty;0.009359501280808358
wall;0.0035818518352787945
comes;0.0034987644286043388
to;0.08785046728971962
throats;0.008063899074154253
promise;0.0042977252039817955
needs;0.00576298049507568
__id__3236;0.009359501280808358
three;0.00288149024753784
sword;0.002940833608873504
status;0.006010418160755917
__id__3346;0.009359501280808358
man;0.0023732029288768275
covered;0.005722286048929267
discusses;0.005055603910726029
ser;0.01226196153454951
leaving;0.00319905854061335
walls;0.004063775404067767
__id__3227;0.009359501280808358
instead;0.004746405857753655
__id__3250;0.009359501280808358
makes;0.0030021229973276925
direwolves;0.006010418160755917
defend;0.0042977252039817955
for;0.020560747663551402
__id__3339;0.009359501280808358
animosity;0.008063899074154253
worst;0.005722286048929267
expects;0.006351206117380132
__id__3340;0.009359501280808358
more;0.002329220690726932
before;0.001938394900337101
offering;0.004565203416394269
bodies;0.008127550808135533
watch;0.0031310816356210597
asks;0.002047308747297804
soon;0.006130980767274755
__id__3226;0.009359501280808358
own;0.0023732029288768275
awkwardly;0.008063899074154253
political;0.005472694660846047
__id__3314;0.009359501280808358
__id__3311;0.009359501280808358
waving;0.0073060203674100216
begins;0.0027139908855010417
simply;0.0031310816356210597
execution;0.005472694660846047
regret;0.0073060203674100216
ambush;0.008063899074154253
are;0.007613825335836984
held;0.0038558770206841694
thing;0.0042977252039817955
good;0.003668805135530931
does;0.003947998006172126
surmises;0.006010418160755917
speech;0.005722286048929267
invitation;0.008063899074154253
from;0.011214953271028037
a;0.024299065420560748
escaped;0.006351206117380132
point;0.003668805135530931
recognition;0.006768296867500151
kills;0.0035818518352787945
terms;0.005472694660846047
unidentified;0.0073060203674100216
stolen;0.006351206117380132
warns;0.002940833608873504
discussing;0.006351206117380132
publicly;0.005722286048929267
__id__3297;0.009359501280808358
if;0.001973999003086063
wonders;0.005252539454011685
because;0.002286249628624691
__id__3269;0.018719002561616717
riot;0.006768296867500151
king;0.012510424902301056
shepherd;0.008063899074154253
__id__3251;0.009359501280808358
__id__3336;0.009359501280808358
protected;0.008063899074154253
have;0.007753579601348404
says;0.012283852483786821
time;0.004658441381453864
convinced;0.004877454041932898
revenge;0.004565203416394269
handmaiden;0.006768296867500151
during;0.002610122004837844
being;0.004247223081587215
people;0.002610122004837844
city;0.0027139908855010417
keep;0.002610122004837844
theon;0.01411986564267281
prisoner;0.008127550808135533
my;0.005472694660846047
__id__3308;0.009359501280808358
love;0.0127962341624534
anyone;0.004565203416394269
naïve;0.008063899074154253
__id__3225;0.07487601024646687
possesses;0.0073060203674100216
ironborn;0.010111207821452058
receives;0.004877454041932898
been;0.0061419262418934105
serve;0.003760001704071925
farm;0.006351206117380132
__id__3333;0.009359501280808358
desperate;0.006010418160755917
her;0.04299065420560748
innocent;0.009754908083865796
locate;0.0073060203674100216
winterfell;0.013536593735000301
highborn;0.0073060203674100216
only;0.00804117796267772
off;0.0022442442905834603
weaker;0.0073060203674100216
price;0.006351206117380132
alliance;0.003760001704071925
already;0.003419213747447711
educated;0.009359501280808358
slit;0.008063899074154253
discovers;0.004877454041932898
army;0.0022031622219502354
bitterly;0.0073060203674100216
led;0.0031310816356210597
orders;0.004488488581166921
how;0.0022031622219502354
__id__3301;0.009359501280808358
penchant;0.009359501280808358
__id__3320;0.009359501280808358
__id__3335;0.009359501280808358
north;0.003342910953951907
rejected;0.006768296867500151
pleading;0.008063899074154253
burn;0.004714815954101814
__id__3306;0.018719002561616717
at;0.014953271028037384
violent;0.006351206117380132
asserts;0.005472694660846047
medical;0.009359501280808358
knows;0.005881667217747008
word;0.003342910953951907
__id__3319;0.009359501280808358
saving;0.005472694660846047
__id__3358;0.037438005123233434
all;0.00201029449066943
come;0.0027139908855010417
__id__3258;0.018719002561616717
brought;0.0069975288572086776
devotion;0.008063899074154253
his;0.022429906542056073
no;0.0041701416341003526
firmly;0.005472694660846047
return;0.0024643994974178217
appear;0.005472694660846047
hunts;0.008063899074154253
exhausted;0.006010418160755917
side;0.005647946257069125
strangles;0.008063899074154253
she;0.03925233644859813
given;0.006539202419480333
worthless;0.008063899074154253
spying;0.006351206117380132
virgin;0.0073060203674100216
children;0.010855963542004167
scouting;0.0073060203674100216
traveling;0.005252539454011685
__id__3266;0.10295451408889193
day;0.003419213747447711
__id__3351;0.037438005123233434
bloody;0.005722286048929267
horse;0.003419213747447711
with;0.03177570093457944
ca;0.0035818518352787945
__id__3233;0.02807850384242507
sins;0.005722286048929267
counseling;0.009359501280808358
hostage;0.005055603910726029
as;0.013084112149532711
shame;0.006768296867500151
whole;0.006351206117380132
arbitrary;0.009359501280808358
openly;0.004877454041932898
so;0.002047308747297804
villages;0.005722286048929267
responsible;0.005055603910726029
rats;0.009359501280808358
earnestly;0.0073060203674100216
__id__3348;0.009359501280808358
night;0.0027139908855010417
you;0.01414444786230544
bizarre;0.009359501280808358
furiously;0.006351206117380132
__id__3238;0.009359501280808358
two;0.004746405857753655
beloved;0.0073060203674100216
__id__3322;0.037438005123233434
cousin;0.006010418160755917
response;0.004714815954101814
in;0.026168224299065422
sees;0.0030654903836373776
odd;0.006010418160755917
__id__3360;0.009359501280808358
their;0.005607476635514018
breaking;0.009754908083865796
and;0.0616822429906542
speak;0.003668805135530931
osha;0.005722286048929267
landing;0.001973999003086063
magically;0.0073060203674100216
leads;0.010496293285813014
out;0.005815184701011302
thirteen;0.008063899074154253
entered;0.006768296867500151
taught;0.006010418160755917
argues;0.005055603910726029
unaware;0.006768296867500151
__id__3256;0.009359501280808358
recent;0.005252539454011685
mlord;0.009359501280808358
other;0.004572499257249382
__id__3260;0.009359501280808358
grief;0.005252539454011685
scent;0.0073060203674100216
xaro;0.0073060203674100216
__id__3234;0.018719002561616717
__id__3230;0.009359501280808358
giving;0.008127550808135533
blithely;0.008063899074154253
__id__3296;0.009359501280808358
monsters;0.006768296867500151
boys;0.004714815954101814
request;0.004714815954101814
excuse;0.0073060203674100216
birth;0.004877454041932898
rape;0.005252539454011685
__id__3246;0.009359501280808358
expresses;0.004565203416394269
__id__3334;0.009359501280808358
farms;0.008063899074154253
pronounce;0.009359501280808358
reprisal;0.009359501280808358
sexual;0.005252539454011685
unsurprised;0.0073060203674100216
stayed;0.006351206117380132
__id__3264;0.009359501280808358
who;0.003738317757009346
__id__3228;0.018719002561616717
southerners;0.006768296867500151
terrified;0.005472694660846047
find;0.014239217573260961
questions;0.003342910953951907
husband;0.0042977252039817955
relative;0.0073060203674100216
torment;0.006768296867500151
raised;0.0073060203674100216
moment;0.0032696012097401667
jaime;0.008304519592240989
help;0.0027139908855010417
escapes;0.012020836321511835
__id__3262;0.037438005123233434
between;0.0027681731974136627
one;0.003947998006172126
were;0.0026613350407034783
__id__3252;0.009359501280808358
__id__3239;0.009359501280808358
hypocritical;0.009359501280808358
stealing;0.006010418160755917
wildlings;0.0030021229973276925
__id__3247;0.009359501280808358
urges;0.0035818518352787945
knight;0.004063775404067767
__id__3263;0.009359501280808358
though;0.0026613350407034783
first;0.002286249628624691
be;0.003806912667918492
put;0.003956937247357582
betrayed;0.004565203416394269
allowing;0.005472694660846047
valuable;0.005252539454011685
should;0.004658441381453864
late;0.004714815954101814
envoy;0.0073060203674100216
protect;0.003956937247357582
do;0.0021236115407936075
attempts;0.0032696012097401667
nt;0.00849444616317443
__id__3284;0.018719002561616717
having;0.0024643994974178217
blood;0.003419213747447711
suggests;0.00288149024753784
promised;0.004177092454191943
based;0.0073060203674100216
has;0.015227650671673969
frantically;0.006351206117380132
expect;0.0073060203674100216
bed;0.003956937247357582
mother;0.0025602748140300655
criticizing;0.008063899074154253
nurse;0.009359501280808358
repression;0.009359501280808358
awakens;0.011444572097858534
violence;0.006351206117380132
an;0.014953271028037384
__id__3278;0.009359501280808358
bastard;0.00319905854061335
the;0.1252336448598131
stole;0.008063899074154253
war;0.0027139908855010417
ridicule;0.009359501280808358
track;0.008063899074154253
chance;0.0035818518352787945
__id__3347;0.037438005123233434
descent;0.009359501280808358
warlock;0.016127798148308507
brother;0.004572499257249382
will;0.005607476635514018
both;0.0025602748140300655
vows;0.005055603910726029
__id__3318;0.009359501280808358
saying;0.0027681731974136627
away;0.002286249628624691
__id__3344;0.018719002561616717
main;0.004063775404067767
up;0.0021629637075185277
acquire;0.0073060203674100216
__id__3316;0.018719002561616717
fight;0.0024643994974178217
flip;0.009359501280808358
was;0.014331161231084627
lord;0.003956937247357582
__id__3253;0.009359501280808358
house;0.004063775404067767
years;0.0035818518352787945
mocks;0.005055603910726029
shells;0.009359501280808358
of;0.044859813084112146
may;0.006130980767274755
finds;0.007984005122110433
hateful;0.008063899074154253
living;0.004714815954101814
__id__3300;0.009359501280808358
gone;0.0044266838422751635
said;0.0044266838422751635
menstruating;0.009359501280808358
presents;0.004714815954101814
suspects;0.005722286048929267
fearing;0.006768296867500151
lure;0.008063899074154253
know;0.0027139908855010417
company;0.005252539454011685
into;0.005607476635514018
get;0.005023445005991867
advice;0.0042977252039817955
they;0.007476635514018692
very;0.0035818518352787945
way;0.0024182450813610527
him;0.016822429906542057
__id__3332;0.009359501280808358
trying;0.003342910953951907
guard;0.009754908083865796
confronts;0.003956937247357582
