entity1,relationship,entity2
Baratheon,arrives,Winterfell
Viserys,plans,Drogo
Forest,lies,Beyond
Waymar,overrides,Gared
Walker,kills,Ser
Will,witnesses,Gared
Will,has,Wall
North,is,Lord
Stark,decrees,Watch
Will,tells,Eddard
Eddard,carries,Valyrian
Bran,witnesses,Jon
Eddard,explains,Bran
Bran,asks,Will
Eddard,dismisses,Walkers
Theon,advocates,Jon
Snow,is,House
Theon,belongs,Jon
Kingsguard,tells,King
Stark,informs,Eddard
Eddard,realizes,King
Robert,means,Hand
Robb,names,Grey
Sansa,calls,Lady
Arya,names,Nymeria
Jon,names,Ghost
Bran,calls,Summer
Rickon,names,Shaggydog
Stark,wants,Tyrion
Arya,is,Sansa
Eddard,presents,King
Cersei,sends,Jaime
Imp,has,Winterfell
Winterfell,enjoys,Ros
Jaime,tells,Tyrion
Jaime,has,Tyrion
Robert,offers,Lyanna
Eddard,kills,Rhaegar
Eddard,reminds,House
Robert,offers,Eddard
Robert,offers,Joffrey
Cersei,seems,Sansa
Snow,works,Catelyn
Watch,arrives,Jon
Jon,asks,Wall
Lannister,arrives,Jon
Jon,asks,Tyrion
Tyrion,knows,Tyrion
Lysa,says,Jon
Winterfell,agrees,Luwin
Cersei,warns,Jaime
Jaime,sees,Summer
Bran,replies,Jaime
Viserys,has,Daenerys
Viserys,needs,Iron
Viserys,prepares,Daenerys
Drogo,arrives,Pentos
Daenerys,does,Drogo
Drogo,needs,Robert
Viserys,adds,Drogo
Drogo,arrives,Illyrio
Viserys,is,Illyrio
Illyrio,assures,Daenerys
Daenerys,marries,Khal
Illyrio,is,Dothraki
Jorah,swears,Viserys
Drogo,gives,Daenerys
Viserys,asks,Drogo
Arryn,causes,Will
Watch,scouts,Walkers
Stark,has,House
Stark,goes,King
Robert,dies,Eddard
Drogo,sees,Daenerys
Bran,is,Bran
Catelyn,is,Cersei
Dothraki,disembowels,Khal
Arya,watches,King
Catelyn,receives,Lysa
Walker,attacks,Waymar
Targaryen,arrives,Baratheon
Baratheon,arrives,Daenerys
Eddard,enters,Dothraki
Drogo,takes,Daenerys
Jon,discovers,Maester
Daenerys,defies,Qotho
Qotho,puts,Mirri
Robb,has,Twins
Tully,has,Riverrun
Riverrun,is,Lannisters
Lannisters,wants,Robb
Robb,agrees,Arya
Tywin,tells,Tyrion
Tyrion,means,Stark
Bronn,has,Shae
Bronn,has,Wall
Shae,starts,Tyrion
Bronn,reveals,Tyrion
Tyrion,explains,Jaime
Lannister,finds,Starks
Bronn,tells,Lannisters
Jaime,is,Robb
Battle,has,Riverrun
Jaime,suggests,Robb
Mormont,gives,Longclaw
Mormont,gives,Jon
Mormont,reinstates,Jon
Jon,has,Ser
Mormont,explains,Jon
Jon,goes,Samwell
Sam,takes,Jon
Jon,informs,Robb
Aemon,tells,Night
Aemon,is,Aemon
Targaryen,is,Khal
Daenerys,tells,Qotho
Qotho,is,Drogo
Jorah,advises,Drogo
Drogo,wins,Daenerys
Duur,promises,Drogo
Drogo,starts,Drogo
Mormont,helps,Daenerys
Daenerys,starts,Dothraki
Jorah,takes,Daenerys
Varys,visits,Eddard
Varys,tells,Eddard
Robb,is,North
Queen,is,King
Varys,urges,Eddard
Eddard,appears,Varys
Varys,insinuates,Sansa
King,is,Great
Unable,climbs,Baelor
Arya,passes,Yoren
Eddard,says,Baelor
Yoren,moves,Arya
Joffrey,is,King
Pycelle,extols,Joffrey
Joffrey,agrees,Eddard
Watch,has,Sansa
Payne,executes,Eddard
Arya,tries,Yoren
Cersei,does,Varys
Eddard,sees,Arya
Arya,has,Yoren
Ilyn,draws,Eddard
Snow,receives,Longclaw
Frey,is,Ser
Frey,chastises,Lord
Walder,is,Rains
Aemon,suggests,King
King,has,Mad
Shae,is,Westeros
Westeros,has,Essos
Yoren,is,Baelor
Ned,sees,Arya
Septon,is,Ned
Tyrion,explains,Tysha
Qotho,is,Rakharo
Baelor,is,Eddard
Baratheon,is,Iron
Eddard,join,Night
Tyrion,drinks,Bronn
Stark,is,Crown
Snow,attempts,Castle
Catelyn,renews,Daenerys
Jaime,is,Eddard
Eddard,meets,Lord
Varys,tells,Eddard
Eddard,upsets,Varys
Eddard,is,Dragons
Dragons,is,Lord
Robert,has,Eddard
Robert,is,King
Joffrey,thinks,Starks
Starks,is,Kevan
Eddard,explains,Sansa
Arya,is,Eddard
Eddard,mollifies,Needle
Littlefinger,owns,Lord
Catelyn,asks,Littlefinger
Littlefinger,is,Tyrion
Eddard,threatens,Lord
Littlefinger,fetches,Eddard
Eddard,suspects,Littlefinger
Catelyn,appears,Eddard
Littlefinger,agrees,Catelyn
Cersei,fears,Jaime
Jaime,comforts,Cersei
Robert,swaps,Ser
Jaime,replies,King
Eddard,has,Syrio
Eddard,watches,Arya
Arya,realizes,Starks
Nan,tells,Bran
Nan,tells,Bran
Bran,does,Ser
Robb,pays,Bran
Snow,shows,Ser
Thorne,has,Jon
Tyrion,notes,Thorne
Jeor,requires,Thorne
Jon,is,Tyrion
Stark,meets,Jon
Wall,is,Forest
Benjen,stops,Yoren
Benjen,scolds,Tyrion
Tyrion,is,Wall
Tyrion,is,Wall
Tyrion,discusses,Wall
Jeor,asks,Tyrion
Aemon,warns,Stark
Stark,is,Walkers
Tyrion,fulfils,Wall
Viserys,is,Dothraki
Irri,reveals,Daenerys
Daenerys,relays,Khal
Jorah,has,Rakharo
Daenerys,announces,Free
Stark,is,Bran
Robert,plays,Royal
Royal,welcomes,Eddard
Renly,hands,Ned
Stark,reads,Dragons
Pycelle,asks,Dragons
Ned,is,Dragon
Dragon,makes,Dragons
Irri,is,Daenerys
Daenerys,is,Dothraki
Royal,greets,Eddard
Stark,says,Grand
Pycelle,has,Council
Joffrey,complains,Cersei
Cersei,is,Hill
Joffrey,mentions,Kevan
Joffrey,is,Kevan
Nan,offers,Bran
Winterfell,is,Old
Catelyn,is,Storm
Snow,is,Catelyn
Stark,gives,Stark
Stark,retrieves,Baratheon
Targaryen,returns,Mormont
Rakharo,introduces,Syrio
Landing,confronts,Queen
Lannister,gives,Jaime
