entity1,relationship,entity2
Hound,'re doing,Stark
Dany,'s,Dothraki
King,'s,Eddard
Eyrie,'s,High Hall
King,'s,Hand
Torrhen,'s,Square
Lord,'s,Chosen
Robert Baratheon,'s,Kingsguard
Lord,'s,Chosen
Slaver,'s,Bay
Slaver,'s,Bay
Beric,'s,Lord
Slaver,'s,Bay
Titan,'s,Bastard
Titan,'s,Bastard
Slaver,'s,Bay
Craster,'s,Keep
Mole,'s,Town
Mole,'s,Town
Harpy,'s,Son
Harpy,'s,Son
Shireen,'s,Greyscale
Shireen,'s,Greyscale
Slaver,'s,Bay
Jaime,'s,Dornish
King,'s,Landing
Slaver,'s,Bay
Bastard,'s,Girls
Sam,'s a boy by calling,Craster
Olenna,'s better if it 's,Sparrows
Mountain,'s ever seen,Oberyn
Jaime,'s no wonder Renly died,Brienne
Highgarden,'s only ever lived,Winterfell
Dondarrion,'s still following,Eddard Stark
Balon,'s surprised that he 's,Euron
Free Cities,'s talking,Varys
Princess Myrcella,'s the one who let,Tyrion
Jaime,'s willing to try,Qyburn
Bolton,'take,Brienne
Stannis Baratheon,'ve allowed,Stannis
Stannis Baratheon,'ve lost,Sansa
Baelish,At,Winterfell
Tyrion,At this,Tyrion
Jaime,Bronn,Cersei
Tyrion,Bronn that not all is,Baelish
Jon Snow,For the,Watch
Tyrell,Growing,Strong
Waif,In,Braavos
Prologue,In the,Westerlands
Cersei,Jaime,Dorne
Kevan Lannister,Jaime Lannister lead,North
King,Landing,Bran
King,Landing,Eddard
King,Landing,Stannis Baratheon
King,Landing alone still want,Joffrey
King,Landing before ordering,Rast
King,Landing to counter,Stannis
North,Lost,North
Edd,Thorne after closing,Jon
Mance,Tormund to take,Jon
Tywin,Tywin a Lannister is,Lannister
Shae,Tywin that she is,Tyrion
Baelish,Varys that he is,Varys
Aerys,Varys when he gave,Tywin
Daenerys,abandon,Garden
Tyrion,abandoning,Volantis
Arya,abandons her mission to assassinate,Thin Man
Locke,abduct,Bran
Dorne,abduct,Myrcella
Eddard,about,Wylla
Grand Maester Pycelle,about,Jon Arryn
Ser Jorah Mormont,about,Daenerys
Sansa,about,Petyr
Jon,about,Bran
Sam,about,Maester Aemon
Eddard,about the,Walkers
Bran,about the,Ser Duncan
Doreah,about the,Targaryen
Jory,about the,Greyjoy Rebellion
Lord Commander Barristan Selmy,about the,Ser Hugh
Robert,about the,Targaryen
Daenerys,about the,Viserys
Baelish,about the,Lannisters
Rickon,about the,Theon
Littlefinger,about the,Sansa
Barristan,about the,Barristan
Bronn,about the,Jaime
Tyrion,about the,Doom
Daenerys,about the,Tyrion
Grand Maester Munkun,about the,Dance
Arya,about the,Cersei
Pycelle,about the,Small Council
Queen Mother,abusing her authority to fill,Small Council
Eddard,accept,Robert
Greatjon,accepts,Robb
Sansa,accepts,Roose
Sansa,accepts,Brienne
Frey,accepts the apology and offers,Starks
Tommen,accommodate,High Sparrow
Kinvara,accommodating in supporting,Tyrion
Crossroads,accompanied,Tyrion
Daenerys,accompanied,Ser Jorah Mormont
Samwell Tarly,accompanied,Gilly
Ramsay Snow,accompanied,Theon Greyjoy
Lord Lord,accompanies,Tyrell
Ser Meryn,accompanies,Mace
Bran,accompany,Jon Snow
Brienne,accompany,Bolton
Reek,accompany,Roose
Osha,accost,Bran
Littlefinger,accused of murdering,Renly Baratheon
Arya,accuses,Sandor
Sansa,accuses,Petyr Baelish
Tywin,accuses,Cersei
Hound,accuses,Brienne
Cersei,accuses,Kevan
Petyr,accuses,Royce
Royce,accuses,Baelish
Pentos,across the,Narrow Sea
Varys,across the,Narrow Sea
Tyrion,across the,Joffrey
Robb,across the,Riverlands
Lannisters,across the,Red Fork
Shireen Baratheon,across the,Narrow Sea
Tyrion,across the,Oberyn
Dothraki,across the,Narrow Sea
Davos,act,Melisandre
Jon,act like he knew,Halfhand
Tyrion,acting,Hand
Maester Aemon,acting,Lord Commander Alliser Thorne
Doran,acting,Jaime
Ser Alliser Thorne,acting,Lord Commander
Balon,acts,Theon
Daenerys,addresses,Unsullied
Ramsay,addresses,Reek
Sandor,addresses,Biter
Mace,addresses,Tycho
Tyrion,addresses,Jorah
Baelish,adds that marrying,Stark
Cersei,adjust,Tywin
Calla,admires,Daenerys
Davos,admires him and offers,Hand
Tywin,admit he needs,Dornish
Reek,admit that they were,Bran
Barristan,admits,Robert
Baelish,admits,Tyrion
Tywin,admits,Lannisters
Myranda,admits,Sansa
Olyvar,admits,Margaery
Pycelle,admits,Ser Gerold Hightower
Book,admits,Septa Unella
Euron,admits killing,Balon
Tyrion,admits that he just murdered,Shae
Sandor,admits that he killed,Mycah
Jon,admits that it 's,Mance
Jon,admits to killing,Qhorin Halfhand
Arya,admits to leaving,Hound
Cersei,admonishes,Margaery
Alliser Alliser,admonishes,Jon
Castle Black,advance,Winterfell
Tyrion,advancing,Jorah
Joffrey,advises,Sansa
Jojen,advises,Bran
Jaime,advises,Tommen
Jorah,advises her to leave,Drogo
Grand Maester Pycelle,advising King,Tommen
High Sparrow,advocate,Margaery
Grey Worm,advocates attacking,Missandei
Theon,advocates killing,Jon Snow
Ramsay,advocates killing,Jon
Iron Throne,afford half of as rebuilding,Royal Fleet
Hoster Tully,after a,Riverrun
Shireen,after an,Stannis
Cersei,after the,King
Drogoʼs,after the,Dothraki
Joffrey Baratheon,after the,Battle
Talisa,after the,Catelyn
Dorne,after the,Robert
Tommen,against,Margaery
North,against,House Bolton
Boltons,against,Jon Snow
Jorah,against a,Norvosi
Eddard,against the,Lannisters
Tywin,against the,Stark
Lannisters,against the,Starks
Westerlands,against the,Baratheons
Beric,against the,Hound
House Tyrell,against the,Lannisters
House Lannister,against the,House Reyne
House Frey,against the,Starks
Night's Watch,against the,Night's Watch
Stannis,against the,Boltons
Faith,against the,Tyrells
Faith,against the,Crown
Loras,against the,Loras
Jon,against the,White Walkers
Westeros,against the,White Walkers
Hardhome,against the,White Walkers
Longclaw,against the,White Walker
Roose,against the,Lannisters
Lannister,against the,Great Sept
Martells,agreed to let,Bronn
Lord Lord,agreed to take,Robin
Stannis Baratheon,agreeing,King Robb Stark
Tywin,agreeing that there will be,Joffrey
Winterfell,agrees,Luwin
Duur,agrees,Daenerys
First Builder,agrees,Thorne
High Sparrow,agrees,Unella
Joffrey,agrees that he could be,Eddard
Lancel,agrees that he will accede,Cersei
Oberyn,agrees to be,Tyrion
Jon,agrees to commit,Night's Watch
Bronn,agrees to give,Tyrion
Bank,agrees to lend,Davos
Joffrey,agrees to wed,Margaery
Summer,aid,Jon
Moat Cailin,aid,Sansa
Jaqen H'ghar,aiding,Harrenhal
Samwell,aids,Aemon
Robb,allow,Littlefinger
Thorne,allow,Jon
Citadel,allow,Sam
Council,allow,Tyrells
Queen Cersei,allow her to leave,Margaery
North,allowed,Winterfell
Cersei,allowed to go,Red Keep
Tyrion,allowed to join,Night
Jon,allowed to keep,Jon
Jorah,allowed to speak,Barristan
Sansa,allowing,Sansa
Janos,allowing,Jon
Jon,allowing,Jon
Jon,allowing,Jon
Stannis Baratheon,allows,Melisandre
Light,allows,Stannis
Ramsay,allows,Reek
Jaqen,allows,Arya
Ramsay,allows,Reek
Sparrow,allows her to visit,Loras Tyrell
Wall,along the,Jon
Tyrion,aloud,Joffrey
House Frey,ambush,Stark
Missandei,ambushed and outnumbered,Grey Worm
Jon,among the,Free Folk
Sansa,among the,Boltons
Grey Grey,among the,Unsullied
Grenn,amongst the,Jon
Eddard,and,Robert greet
Robert,and,Eddard
Cersei,and,Catelyn
Eddard,and,Catelyn
Eddard,and,Robert
Viserys,and,Daenerys Targaryen
Illyrio,and,Viserys
Drogo,and,Daenerys
Jon Jon,and,Tyrion Lannister
Irri,and,Jhiqui
Lord,and,Lady Stark
Cersei,and,Jaime
Tyrion,and,Benjen Stark
Jon,and,Tyrion
Daenerys,and,Viserys
Arya,and,Sansa
Catelyn,and,Rodrik
Catelyn Catelyn,and,Ser Rodrik
Starks,and,Lannisters
Westerosi,and,Dothraki
Catelyn,and,Ser Rodrik Cassel
Tyrion Lannister,and,Yoren
Jon,and,Sam
Sansa,and,Septa Mordane
Catelyn,and,Ser Rodrik Cassel
Tyrion Lannister,and,Yoren
Tyrion,and,Catelyn
Bran,and,Maester Luwin
Littlefinger,and,Lord Renly
Varys,and,Magister Illyrio Mopatis
Ser Gregor,and,Ser Loras
Eddard,and,Illyrio
Littlefinger,and,Varys
Robert,and,Renly
Cersei,and,Robert
Heward,and,Wyl
Ned,and,Jory
Robert Baratheon,and,Queen Cersei
House Stark,and,House Lannister
Ser Barristan Selmy,and,Lancel Lannister
Cersei,and,Robert
Stiv,and,Osha
Daenerys,and,Drogo
Daenerys,and,Drogo
Jon Jon,and,Samwell Tarly
Jon Jon,and,Samwell Tarly
Littlefinger,and,Varys
Jon,and,Sam
Jafer Flowers,and,Othor
Tyrion,and,Bronn
Tyrion,and,Bronn
Catelyn,and,Ser Rodrik Cassel
Kevan,and,Tywin Lannister
Sansa,and,Septa Mordane
Syrio Forel,and,Arya
Theon,and,Robb
Catelyn,and,Walder
Robb,and,Arya
Catelyn,and,Ser Rodrik Cassel
Bran,and,Rickon
Robert,and,Cersei
Catelyn,and,Ser Rodrik
Lancel,and,Cersei
Hot Hot,and,Lommy
Sansa,and,Arya
Sansa,and,Arya
Cersei,and,Joffrey
Grenn,and,Pypar
Lannisters,and,Starks
Dolorous Edd,and,Samwell Tarly
Tommen,and,Myrcella
Cersei,and,Jaime Lannister
Cersei,and,Tyrion
Lord Jon Arryn,and,Lord Eddard Stark
Iron Islands,and,House Greyjoy
Renly,and,Catelyn
Gendry,and,Hot Pie
Stannis,and,Renly
Arya,and,Gendry
Stark,and,Lannister
Sansa,and,Arya
Joffrey,and,Tywin Lannister
Ros,and,Daisy
Renly,and,House Tyrell
Sansa Stark,and,Arya Stark
Red Priestess Melisandre,and,Ser Davos Seaworth
Brienne,and,Ser Loras Tyrell
Night's Watch,and,Ghost
Summer,and,Shaggydog
House Lannister,and,House Tyrell
Cersei,and,Tyrion
Bran,and,Rickon
Sansa,and,Shae
Sansa,and,Joffrey
Myrcella,and,Tommen
Pyat Pree,and,Xaro
Stannis,and,Davos
Bran,and,Rickon Stark
Grenn,and,Samwell Tarly
Luwin,and,Osha
Bran,and,Rickon
Bronn,and,Varys
Sansa,and,Arya
Ser Mandon Moore,and,Ser Boros Blount
Cersei,and,Tommen
Tywin,and,Loras
Houses Lannister,and,Tyrell
Cersei Lannister,and,Pycelle
Tarth,and,Jaime Lannister
Gendry,and,Hot Pie
Jorah,and,Kovarro
Jon Jon,and,Qhorin Halfhand
Night's Watch,and,Qhorin
Joffrey,and,Cersei
Sansa Sansa,and,Shae
Northern,and,Riverlands
Grenn,and,Edd
Jon,and,Robb
Bran,and,Rickon
Jojen,and,Bran
Bran,and,Rickon
Jaime Lannister,and,Brienne
Brienne,and,Jaime
Ser Jorah Mormont,and,Ser Barristan Selmy
Jorah,and,Barristan
Jorah,and,Selmy
Jorah,and,Selmy
Sam,and,Gilly
Catelyn,and,Robb
Bran,and,Rickon
Robb,and,Brynden
Willem,and,Martyn Lannister
Willem,and,Martyn Lannister
Reach,and,House Martell
Tyrion,and,Bronn
Tyrion,and,Bronn
Joffrey,and,Robb
Jaime Lannister,and,Brienne
Cersei,and,Olenna
Joffrey,and,Margaery
Cersei Lannister,and,Olenna Tyrell
Varys,and,Olenna
Eddard,and,Robert
Rhaenys,and,Aegon Targaryen
Bran,and,Jojen
Bran,and,Rickon Stark
Bran,and,Rickon
Ser Jorah Mormont,and,Ser Barristan Selmy
Jon,and,Ygritte
Jon,and,Ygritte
Jon,and,Ygritte
Jon,and,Ygritte
Jorah,and,Barristan
Martyn,and,Willem Lannister
Martyn,and,Willem
Starks,and,Karstarks
Riverrun,and,Harrenhal
Lannister,and,Tyrell
Stannis,and,Selyse
Sansa Stark,and,Margaery Tyrell
Cersei,and,Tyrion
Loras,and,Cersei
Cersei,and,Tyrion Lannister
Varys,and,Baelish
Jaime,and,Bolton
Jaime,and,Brienne
Osha,and,Meera Reed
Samwell Samwell,and,Gilly
